"";"id";"screen name";"text"
"43";"UHJvcG9zYWw6ZjY2ZTlhNGEtMjMwMC0xMWU5LTk0ZDItZmExNjNlZWIxMWUx";"user_24029";"Respecter la loi de 1905 à la lettre et l'état doit être hors d'influence des religions"
"44";"UHJvcG9zYWw6ODIxOThjZjEtNDZhMS0xMWU5LWJmNTYtZmExNjNlZWIxMWUx";"user_101581";"Respect mutuel de chacun et de l'état"
"45";"UHJvcG9zYWw6ODhlYzUzN2EtM2RjZS0xMWU5LWJmNTYtZmExNjNlZWIxMWUx";"user_69532";"La religion est du domaine de la vie privée et doit le rester. Chaque citoyen a le droit d'avoir ses propres croyances mais ne doit pas en faire état dans la sphère publique. Il n'est pas admissible qu'un élu quel qu’il soit se rende dans une église, un temple, une synagogue, mosquée etc...en tant qu'élu."
"46";"UHJvcG9zYWw6YTQ5MTMxNzYtMjAxNi0xMWU5LTk0ZDItZmExNjNlZWIxMWUx";"user_14461";"Indépendance totale entre l'Etat et l'Eglise. Permettre toutes les pratiques religieuses à condition qu'elles n'aient aucun caractère fondamentaliste. Chacun à sa place !"
"47";"UHJvcG9zYWw6MGU1YTVhMTItMjRkYi0xMWU5LTk0ZDItZmExNjNlZWIxMWUx";"user_28788";"L'Etat français est Un, au dessus de tout qui gère l'intérêt du citoyen. La Religion est affaire strictement personnelle qui ne doit jamais intervenir dans les affaires publiques - danger assuré"
"48";"UHJvcG9zYWw6MDYwMGUzOTEtNDU5ZS0xMWU5LWJmNTYtZmExNjNlZWIxMWUx";"user_95276";"Aucune exception au principe de laïcité."
"49";"UHJvcG9zYWw6ZTA2YWU3MTktMzNhZC0xMWU5LWJmNTYtZmExNjNlZWIxMWUx";"user_52415";"Non réponse"
"50";"UHJvcG9zYWw6MzZkMmI5OTctMjY0ZS0xMWU5LTk0ZDItZmExNjNlZWIxMWUx";"user_31995";"Non réponse"
"51";"UHJvcG9zYWw6ZjA1ZWM2NGUtMjI0MC0xMWU5LTk0ZDItZmExNjNlZWIxMWUx";"user_21756";"Non réponse"
"52";"UHJvcG9zYWw6NzFiYTc5NmUtNDc2Yy0xMWU5LWJmNTYtZmExNjNlZWIxMWUx";"user_107172";"Non réponse"
"53";"UHJvcG9zYWw6M2I4YjU1Y2EtMjdhMy0xMWU5LTk0ZDItZmExNjNlZWIxMWUx";"user_33960";"Les religions ont toujours été sources de conflit. L'état doit être en dehors et ne pas donner d'argent à ces """"organismes""""."
"54";"UHJvcG9zYWw6NDk1ZmY1NGYtMWU1My0xMWU5LTk0ZDItZmExNjNlZWIxMWUx";"user_2340";"Non réponse"
"55";"UHJvcG9zYWw6NGY3ZDkxM2ItMjU4MS0xMWU5LTk0ZDItZmExNjNlZWIxMWUx";"user_30276";"Comprendre la laïcité : un accueil des parents étrangers dans les établissements scolaires (information officielle sur la laïcité, comprendre l'école, les enjeux, la relation d'éducation enfant-parent-école)."
"56";"UHJvcG9zYWw6MzdmMGUyZDctNDM0My0xMWU5LWJmNTYtZmExNjNlZWIxMWUx";"user_83400";"Tout d'abord une réelle information sur ce que représente la """"laïcité"""" doit être faite à tous les niveaux de la société !"
"57";"UHJvcG9zYWw6N2MzNjgzYTItNDg5OC0xMWU5LWJmNTYtZmExNjNlZWIxMWUx";"user_110447";"Non réponse"
"58";"UHJvcG9zYWw6NTkxYzE2MTQtMjAxMy0xMWU5LTk0ZDItZmExNjNlZWIxMWUx";"user_14397";"Renforcer les cours d'éducation civique dès le plus jeune âge"
"59";"UHJvcG9zYWw6ZGU0MTc0MTMtMzhjYi0xMWU5LWJmNTYtZmExNjNlZWIxMWUx";"user_60467";"supprimer toutes les écoles """"religieuses"""" pour les enfants de 3 à 15 ans afin d'imposer un parcours dans le système laîc"
"60";"UHJvcG9zYWw6ZWE4ODRmZDMtMWU5Ni0xMWU5LTk0ZDItZmExNjNlZWIxMWUx";"user_5479";"Rien. Les choses me conviennent comme elles sont. A la limite, je trouve que les représentants de l'Etat parlent trop de religion. Je propose donc qu'ils arrêtent d'en parler. Ce serait un bon début."
"61";"UHJvcG9zYWw6MDI4NTEwZjMtMWU3My0xMWU5LTk0ZDItZmExNjNlZWIxMWUx";"user_4090";"Aucune idée"
"62";"UHJvcG9zYWw6ZWI3OGMyZTYtMmY4OC0xMWU5LWJmNTYtZmExNjNlZWIxMWUx";"user_46772";"Non réponse"
"63";"UHJvcG9zYWw6ZjJlYjhhYzAtM2M0Zi0xMWU5LWJmNTYtZmExNjNlZWIxMWUx";"user_66400";"mettre l'islam sous surveillance"
"64";"UHJvcG9zYWw6ZTE5Y2QxZTYtNDhkOC0xMWU5LWJmNTYtZmExNjNlZWIxMWUx";"user_111772";"Non réponse"
"65";"UHJvcG9zYWw6OThmNTk2MTctNDM2Yi0xMWU5LWJmNTYtZmExNjNlZWIxMWUx";"user_85377";"Non réponse"
"66";"UHJvcG9zYWw6OTdhZGI0ZDUtMzgzMi0xMWU5LWJmNTYtZmExNjNlZWIxMWUx";"user_59317";"Pas de changement nécessaire."
"67";"UHJvcG9zYWw6ODZhOTBkMDEtM2I4OS0xMWU5LWJmNTYtZmExNjNlZWIxMWUx";"user_65020";"Réaffirmer la TOTALE laïcité dans notre pays. Interdire toute forme de prosélytisme dans la sphère publique et lutter contre le communautarisme religieux. Sortir du déni qui consiste à nier le danger du développement des religions en France en particulier de l'Islam radical. Fermer les mosquées salafistes. Exclure tous les étrangers qui professent des idées contraires à notre république et à la laïcité et leur retirer leurs titres de séjours."
